group_of_majors,letter_grade,percent_of_major
Arts_Hum,A,40
Arts_Hum,B,30
Arts_Hum,C,16
Arts_Hum,D,4
Arts_Hum,F,6
Arts_Hum,W,4
Bus,A,31
Bus,B,32
Bus,C,21
Bus,D,6
Bus,F,6
Bus,W,4
Comp_Sci,A,33
Comp_Sci,B,29
Comp_Sci,C,19
Comp_Sci,D,6
Comp_Sci,F,7
Comp_Sci,W,5
Engr,A,35
Engr,B,31
Engr,C,19
Engr,D,6
Engr,F,5
Engr,W,4
Other,A,36
Other,B,30
Other,C,19
Other,D,5
Other,F,6
Other,W,4
Other_STM,A,38
Other_STM,B,30
Other_STM,C,17
Other_STM,D,5
Other_STM,F,6
Other_STM,W,4
Soc_Sci,A,38
Soc_Sci,B,29
Soc_Sci,C,17
Soc_Sci,D,5
Soc_Sci,F,6
Soc_Sci,W,4
