discipline,race_ethnicity_sex,dspn_stick,dspn_median,delta_stick,delta_median
Chemical,Asian Female,59.6,51.4,24.2,22.6
Chemical,Asian Male,51.3,51.4,23.4,22.6
Chemical,Black Female,41.7,51.4,22.3,22.6
Chemical,Black Male,38.5,51.4,15.8,22.6
Chemical,Hispanic Female,51.4,51.4,21.2,22.6
Chemical,Hispanic Male,46.3,51.4,22.8,22.6
Chemical,White Female,52.1,51.4,25.8,22.6
Chemical,White Male,53.2,51.4,21.5,22.6
Civil,Asian Female,60.3,57.3,20.1,18.9
Civil,Asian Male,60.5,57.3,14.3,18.9
Civil,Black Female,38.2,57.3,21.2,18.9
Civil,Black Male,36.9,57.3,19.2,18.9
Civil,Hispanic Female,54.3,57.3,19.7,18.9
Civil,Hispanic Male,53,57.3,18.6,18.9
Civil,White Female,62.6,57.3,15.4,18.9
Civil,White Male,60.8,57.3,13.7,18.9
Electrical,Asian Female,56.2,47.8,19.4,19.9
Electrical,Asian Male,57.6,47.8,15.3,19.9
Electrical,Black Female,44.6,47.8,17.7,19.9
Electrical,Black Male,40.1,47.8,13.6,19.9
Electrical,Hispanic Female,54,47.8,20.3,19.9
Electrical,Hispanic Male,46,47.8,21.1,19.9
Electrical,White Female,47.9,47.8,24.6,19.9
Electrical,White Male,47.7,47.8,21.4,19.9
Industrial,Asian Female,70.1,65.6,13.2,12.1
Industrial,Asian Male,64,65.6,10.7,12.1
Industrial,Black Female,60.3,65.6,9.3,12.1
Industrial,Black Male,47.5,65.6,10.9,12.1
Industrial,Hispanic Female,73.9,65.6,10.6,12.1
Industrial,Hispanic Male,67.2,65.6,14.5,12.1
Industrial,White Female,67.6,65.6,13.5,12.1
Industrial,White Male,63,65.6,13.4,12.1
Mechanical,Asian Female,62.9,55.9,17.9,15.2
Mechanical,Asian Male,56.9,55.9,15.4,15.2
Mechanical,Black Female,53.8,55.9,14.8,15.2
Mechanical,Black Male,42.8,55.9,12.4,15.2
Mechanical,Hispanic Female,55,55.9,13,15.2
Mechanical,Hispanic Male,48.6,55.9,17.4,15.2
Mechanical,White Female,57.5,55.9,18.8,15.2
Mechanical,White Male,56.7,55.9,15,15.2
